aktiv;orgform;fnr;fnavn;orgnr;virksomhet;virksomhet_kommunenr;virksomhet_kommune;vannforsyningssystem;mtid_vf;ir_orgform;vregnr;kommunenr;kommune;mtregion;mtavdeling;siste_insp;omraade;periode;vannprod;vannegetnett;vann_mottatt;max_vann_pers;max_vann_dogn;beredskap;beredsk_oppd;beredsk_ovelse;boliger;helseinst;skoler;nmindustri;hyttercamp;gardsbruk;fiskemottak;ant_fastboende;ant_personer_max;ant_husstander;ant_hytter;forbr_fast_bosetting;forbr_fritidsboliger;forbr_industri;forbr_tjytende;forbr_primnaering;forbr_annet;forbr_lekkasje
ja;STI;983653057;Stiftelsen Storbuan;985559597;Stiftelsen Storbuan;5059;Orkland;Stiftelsen Storbuans Vannforsyning;Z0704301341212921190SVUMH;Privat AS, BA, lag, stiftelse, statlig etc;;5059;Orkland;Region Midt;Avdeling Trondheim og omland;30.05.2012;Storbuan gård;2013;260.0;260.0;;15.0;15.0;ja;nei;ja;nei;ja;nei;nei;nei;nei;nei;0;18;1;1;;;;;;;
ja;FLI;938679177;Norsk Luthersk Misjonssamband;974189801;Søvassli Ungdomssenter;5059;Orkland;Søvassli Ungdomssenter Og Leirskole Vannforsyning;Z0704301341218341190MSTAS;Privat AS, BA, lag, stiftelse, statlig etc;;5055;Heim;Region Midt;Avdeling Trondheim og omland;;Søvassli Ungdomssenter & Leirskole;2014;1000.0;1000.0;0.0;;;ja;nei;nei;ja;nei;nei;ja;nei;nei;nei;4;115;5;0;;;;;;;
ja;SA;975770060;Masjok Vannverk Sa;913216199;Masjok Vannverk Sa;5441;Tana;Masjok Vannverk Al;Z0704301341226321190MPGMW;Privat AS, BA, lag, stiftelse, statlig etc;202512;5441;Tana;Region Nord;Avdeling Finnmark;25.02.2020;Masjok, 9845 Tana;2019;5500.0;5500.0;0.0;100.0;365.0;ja;ja;ja;ja;nei;nei;nei;ja;ja;nei;120;120;33;2;75.0;25.0;0.0;0.0;0.0;0.0;0.0
ja;SA;970242732;Sirma Vannverk Sa;973239570;Sirma Vannverk Sa;5441;Tana;Sirma Vannverk Ba;Z0704301341229251190ICBOU;Privat AS, BA, lag, stiftelse, statlig etc;202503;5441;Tana;Region Nord;Avdeling Finnmark;04.02.2015;Sirma;2019;14000.0;14000.0;0.0;0.0;0.0;ja;ja;nei;ja;nei;ja;nei;nei;ja;nei;100;100;31;5;75.0;5.0;0.0;0.0;15.0;0.0;5.0
nei;BEDR;;;979061811;Solstad Oskar Arne;5024;Orkdal - UTGÅTT KODE;Vika Camping Vannverk;Z0704301341230871190SHSDE;Kommunal etat/enhet;;;;Region Midt;Avdeling Trondheim og omland;22.08.2013;Vika camping;2017;1000.0;1000.0;0.0;0.0;0.0;ja;nei;nei;nei;nei;nei;ja;nei;nei;nei;0;100;0;60;;;;;;;
ja;KOMM;940642140;Evenes Kommune;976835026;Evenes Kommune Var Sektoren;1853;Evenes;Indre Evenes Vannverk;Z0704301341242471190JHFNB;Kommunal etat/enhet;185303;1853;Evenes;Region Nord;Avdeling Midtre Hålogaland;19.06.2019;Bogen, Lenvik og Østervik;2019;167155.0;167155.0;0.0;;;ja;ja;nei;ja;nei;ja;ja;ja;nei;nei;675;800;152;20;61.0;8.0;4.0;4.0;3.0;0.0;20.0
nei;ENK;;;979470460;Høgkjølen Fjellcamp Antonsen;1638;Orkdal - UTGÅTT KODE;Høgkjølen Fjellcamp;Z0704301341243421190OQYLN;;;;;Region Midt;Avdeling Trondheim og omland;07.11.2007;Høgkjølen Fjellcamp;2009;2000.0;2000.0;;;;ja;nei;nei;ja;nei;nei;nei;ja;nei;nei;4;400;1;140;;;;;;;
ja;SA;970550445;Hellandsjøen Vannverk Sa;994124714;Hellandsjøen Vannverk Sa;5055;Heim;Hellandsjøen Vannverk Ba;Z0704301341251561190URCDR;Privat AS, BA, lag, stiftelse, statlig etc;161204;5055;Heim;Region Midt;Avdeling Trondheim og omland;21.11.2019;Hellandsjøen;2019;40150.0;40150.0;0.0;200.0;20.0;ja;ja;ja;ja;nei;ja;nei;nei;ja;nei;192;265;88;44;60.0;5.0;15.0;0.0;10.0;0.0;10.0
ja;SA;970220585;Øyum Vassverk Sa;972490822;Øyum Vassverk Sa;5059;Orkland;Øyum Vassverk;Z0704301341259801190YJIDA;Privat AS, BA, lag, stiftelse, statlig etc;163803;5059;Orkland;Region Midt;Avdeling Trondheim og omland;17.09.2019;Øyum og Solbu;2019;25497.0;25497.0;0.0;;;ja;ja;nei;ja;nei;nei;nei;nei;ja;nei;160;165;43;2;90.0;1.0;0.0;0.0;9.0;0.0;0.0
ja;SA;970040447;Oppenvannverket Sa;972489654;Oppenvannverket A/L;3054;Lunner;Oppenvannverket Al;Z0704301341277271190YZTIH;Privat AS, BA, lag, stiftelse, statlig etc;53304;3054;Lunner;Region Øst;Avdeling Nordre Buskerud, Hadeland og Valdres;11.10.2018;Kalvsjø;2017;66457.0;66457.0;0.0;520.0;365.0;ja;ja;ja;ja;ja;ja;nei;nei;ja;nei;650;950;170;3;39.5;0.5;0.0;0.0;10.0;45.0;5.0
ja;AS;984655258;Valdresporten Kro As;984675844;Valdresporten Kro As;3007;Ringerike;Vannforsyningssystemet Til Valdresporten Kro;Z0704301341293981190INKMC;Privat AS, BA, lag, stiftelse, statlig etc;;;;Region Øst;Avdeling Nordre Buskerud, Hadeland og Valdres;19.10.2018;;2018;109000.0;109000.0;0.0;0.0;0.0;nei;ja;ja;nei;nei;nei;ja;ja;nei;nei;0;500;0;0;;;;;;;
ja;SA;970102302;Tyristrand Vannverk Sa;873276282;Tyristrand Vannverk Sa;3007;Ringerike;Tyristrand Vannverk;Z0704301341302381190MJCQS;Privat AS, BA, lag, stiftelse, statlig etc;60507;3007;Ringerike;Region Øst;Avdeling Nordre Buskerud, Hadeland og Valdres;21.02.2018;Tyristrand;2019;261889.0;261889.0;0.0;;;ja;ja;ja;ja;ja;ja;ja;ja;ja;nei;2500;2500;741;50;47.1;0.5;4.0;10.feb;06.jan;2.0;30.jan
nei;ENK;981693973;Kjell Arne Thorrud;978437451;Kjell Arne Thorrud;3802;Holmestrand;Eikernveien Camping Vannverk;Z0704301341302871189KJRCY;Privat AS, BA, lag, stiftelse, statlig etc;;3802;Holmestrand;Region Øst;Avdeling Vestfold;27.06.2018;Eikernveien Camping;2018;80.0;80.0;0.0;0.0;0.0;ja;nei;nei;nei;nei;nei;nei;ja;nei;nei;5;300;2;0;;;;;;;
nei;BEDR;;;999388957;Sperillen Camping Gunnar Skredshol;605;Ringerike - UTGÅTT KODE;Vannforsyningssystem - Sperillen Camping;Z0704301341304441190OJPOG;Privat AS, BA, lag, stiftelse, statlig etc;;3007;Ringerike;Region Øst;Avdeling Nordre Buskerud, Hadeland og Valdres;17.07.2012;Sperillen Camping;2014;500.0;500.0;;;;ja;ja;nei;nei;nei;nei;nei;ja;nei;nei;0;200;0;2;;;;;;;
ja;SA;879515742;Kvernsjøen Vassverk Sa;880238752;Kvernsjøen Vassverk Sa;5029;Skaun;Kvernsjøen Vannverk;Z0704301341306151189ELMDD;Privat AS, BA, lag, stiftelse, statlig etc;165707;5029;Skaun;Region Midt;Avdeling Trondheim og omland;20.05.2019;Egkleiva;2019;33300.0;33300.0;0.0;0.0;0.0;ja;ja;nei;ja;;;nei;ja;ja;;157;320;68;1;75.0;1.0;0.0;1.0;20.0;0.0;3.0
